LotArea,Neighborhood,BedroomAbvGr,Neighborhood_encoded,SalePrice
8270,C,3,3,770688.8271377786
1860,A,5,1,262785.6494990932
6390,C,1,3,684437.9539178986
6191,E,3,5,640655.048172087
6734,A,2,1,783698.7677020072
7265,E,4,5,1041431.97268634
1466,C,4,3,265317.80073881976
5426,D,3,4,486318.26224242506
6578,D,5,4,1256863.5864083543
9322,D,2,4,893537.6867655542
2685,E,2,5,515309.1428703394
1769,D,5,4,317936.10431246384
7949,B,5,2,740943.8233734171
3433,A,3,1,490443.31645023526
6311,A,3,1,756056.6616631049
6051,C,4,3,889808.057477864
7420,E,4,5,838764.8335017912
2184,A,5,1,428885.41697703354
5555,E,1,5,689367.7364275024
4385,C,1,3,496857.16385338147
7396,D,1,4,726335.9739238252
9666,C,2,3,1543889.1110008142
3558,B,3,2,403844.70658107306
8849,D,5,4,1465973.4128383044
3047,D,4,4,342575.4166023069
3747,D,1,4,720454.1276882081
1189,C,4,3,392072.0136329897
3734,B,3,2,596753.9373710991
4005,E,5,5,594360.1405378424
5658,C,1,3,513510.55430770956
2899,A,1,1,235613.086891391
8734,A,5,1,776729.9936054493
2267,C,4,3,367617.12206284644
2528,E,3,5,514810.2128237638
4556,A,3,1,259892.92056114908
4890,E,3,5,554091.9229305739
9838,D,4,4,1233177.2505959498
6393,C,4,3,705888.6515672721
9792,D,1,4,971519.5269573894
9433,A,4,1,743679.2163056955
8513,E,2,5,1401904.3527927492
3612,D,5,4,480309.62446551403
8041,A,4,1,1119592.0172839733
7235,B,3,2,748050.862587103
6486,D,4,4,657744.2326059351
8099,B,1,2,1275115.334234503
1775,B,5,2,228976.03037064424
9226,A,5,1,1468383.2701023556
4152,C,3,3,632978.1380598793
2585,E,5,5,432613.09996590315
4943,A,2,1,855363.6955185317
8555,D,5,4,831007.6343301143
4073,E,3,5,824843.1533959553
2021,C,5,3,341810.66197105707
4843,A,4,1,691018.4303740858
8989,C,1,3,1137325.3676896994
7873,D,4,4,1081284.5625002403
6675,A,2,1,465930.11329879554
1161,D,2,4,281700.04209369683
5297,E,1,5,670486.3244665131
1995,E,1,5,311529.4265674336
8629,C,1,3,1097478.5903515324
2016,C,1,3,422110.47680018365
8869,E,5,5,1170588.0272916362
7439,B,4,2,729706.5183578435
8892,E,2,5,1275029.5752826747
7863,A,5,1,1007831.7311103862
8916,D,1,4,1233764.244770041
9529,E,3,5,1310830.923601365
1878,E,3,5,268033.2680037984
5887,D,4,4,768216.4665405317
5859,D,2,4,736344.1491733606
7331,A,2,1,1098005.0799563867
9571,D,4,4,1125804.6311563381
9684,C,1,3,1036055.626430677
8208,E,1,5,1033014.9675921962
6276,D,2,4,568848.5265128396
3062,A,2,1,469830.92813372146
1064,D,2,4,288955.6062488106
9006,E,1,5,1344605.0139684558
3568,B,3,2,550866.4392398519
6463,D,4,4,1053115.7026992044
3027,C,4,3,244238.95755215135
3695,E,5,5,649097.337654151
6258,A,5,1,920674.2141260046
6618,E,3,5,615880.1402111481
7736,B,2,2,1021340.5378276731
1391,A,3,1,264168.91256795253
6892,B,5,2,804555.9832895307
4561,B,5,2,743313.494590859
7184,C,4,3,1107036.2396124643
4099,D,3,4,511371.57927954156
7278,C,1,3,1170834.387295396
9392,C,5,3,848992.9238034307
4104,C,4,3,483796.73431081016
8215,A,2,1,518602.27283885895
3454,D,3,4,436271.956049475
9996,D,5,4,1080159.1497941194
3731,A,1,1,553611.5507355778
9154,C,5,3,747499.0732119915
6056,C,1,3,687858.753357227
9110,B,3,2,993532.2509488779
4840,B,1,2,402718.6309407702
2028,E,1,5,403538.2264273658
8385,B,4,2,709042.5745703992
1502,D,3,4,337058.755497756
7910,A,5,1,1012069.7998608649
7938,C,2,3,779586.6218576006
5488,E,3,5,735291.1914870207
1206,B,3,2,192095.93624701057
6134,E,2,5,854724.4347969752
6977,A,5,1,791669.1291249971
8721,A,4,1,866693.6151872363
8035,E,5,5,1097440.9730190542
2484,E,2,5,487723.92559046135
8858,E,5,5,841389.4700783656
1863,C,3,3,336176.9105680449
3790,D,4,4,480595.3809430628
8408,B,1,2,757858.568654394
9755,B,5,2,1309363.505259777
6116,B,1,2,883492.0300337814
7019,E,4,5,1308980.3930742964
2757,E,1,5,531257.313764917
8574,E,5,5,898278.8787032139
7374,C,2,3,1063870.0708550953
7892,C,3,3,639081.5184317422
2678,C,3,3,551145.4601754007
4242,C,1,3,496259.4921748353
5636,A,3,1,473779.3777339213
2059,C,3,3,274991.2386354379
7668,C,2,3,763864.0353866812
4157,C,1,3,303133.1535788552
6915,B,2,2,653996.1837443396
3693,B,2,2,320436.9550942803
4627,B,4,2,284587.57034535543
6450,D,1,4,558040.0144054182
2663,A,2,1,306465.00036313216
6592,E,5,5,846885.7879990144
8392,C,3,3,1258201.8873487706
2306,B,1,2,232233.40356958375
7776,A,4,1,1069319.9723028673
6864,C,2,3,690357.6193881911
8526,D,5,4,656566.0461056404
9901,E,3,5,1631406.5298709755
6575,C,3,3,674334.0635462686
6530,E,5,5,917236.4918099409
5413,C,1,3,552719.7354203855
4748,D,3,4,673751.2685732949
1663,A,3,1,236322.26062663243
2998,E,3,5,595283.6167007068
8994,E,2,5,1457754.3355816638
2495,A,2,1,222077.48832300087
4304,E,3,5,918819.9854366147
4763,B,4,2,647822.3138606775
6232,A,3,1,438130.39865842136
2853,D,1,4,282850.1719460567
7585,C,4,3,825668.3340210144
2291,C,1,3,398727.8676775577
4581,A,5,1,433310.47591060365
8554,B,5,2,893636.4767341244
8280,D,2,4,1384534.9519984392
2636,C,2,3,478018.08203925483
4696,C,2,3,662549.1953156149
1698,B,5,2,260266.67030864328
5737,E,1,5,512792.180501493
1854,A,4,1,254573.49706146092
9164,B,2,2,826583.9489964682
6855,B,5,2,804528.8388742356
8392,B,2,2,692420.3988751189
7528,B,3,2,431856.85692754434
6249,E,4,5,528021.7266184866
6172,D,1,4,832576.4882170486
2707,B,2,2,507336.75540767924
6791,B,3,2,939591.6595670058
6535,A,3,1,633968.7351476847
5931,C,4,3,952055.1270063035
4510,E,5,5,692473.2194575097
1202,B,5,2,351256.0651509569
5218,D,2,4,612589.2794195323
9958,D,2,4,1088889.6368859068
5389,D,5,4,670852.350831098
3327,A,1,1,263298.8236784593
9004,D,1,4,1114717.6433412966
3931,A,3,1,547364.7968898735
8777,E,4,5,1125560.5782581505
1197,D,1,4,340584.89507482137
8125,C,2,3,798270.103837168
2930,B,1,2,338169.25601473707
7287,E,4,5,1199870.261023644
9800,C,2,3,636385.8178498555
5282,E,4,5,451669.6766958197
3511,D,5,4,587585.1661129578
1659,E,4,5,412563.35876456613
3811,E,4,5,702815.4388455388
8098,E,4,5,1378972.3616944726
7546,A,2,1,954293.1360109918
2986,C,4,3,464274.2614319647
9338,D,4,4,1623762.9071867315
3911,B,3,2,551738.6418904681
2734,D,2,4,554711.8070171528
2843,D,4,4,353287.7765221739
9680,A,1,1,1070408.9517788102
3976,A,4,1,605325.4707429437
2959,E,1,5,545114.7930832652
6759,D,5,4,738746.2990014253
7694,C,5,3,767184.6754409223
3385,A,2,1,491727.3224670098
5736,A,2,1,572815.6014395014
2802,C,5,3,582596.8783383388
9155,A,2,1,1255164.0696731764
9120,C,1,3,748296.0341407583
7616,B,1,2,1019758.0608217118
6534,C,3,3,1005340.8250350615
5061,B,2,2,487316.7251234158
1262,E,2,5,411942.04012203764
7287,E,3,5,1171034.6313131812
9815,A,4,1,729332.0637477943
3049,C,1,3,340854.8541565485
6423,A,4,1,845744.5108257846
5548,C,3,3,501176.9655427277
4108,A,2,1,275052.5264544095
8158,E,4,5,930292.0793495871
8400,E,2,5,918311.5976508514
4170,A,3,1,488277.1809068793
3255,C,5,3,350413.2929236326
2154,D,2,4,497491.3431442004
5499,C,4,3,790072.5062066101
7295,A,4,1,772467.2061905628
7197,C,3,3,601411.380650145
2648,B,4,2,212661.8356698137
6539,C,1,3,504025.03600340977
5199,E,2,5,659987.3388166443
9445,E,1,5,1452003.6631911036
3557,B,3,2,297549.42657147703
6592,C,1,3,565051.1455761972
1098,D,1,4,192996.13525875116
3200,C,2,3,436523.9873289241
3961,E,2,5,559356.1147069017
5973,E,5,5,951925.1708682267
5433,A,1,1,609393.4061348723
3869,E,2,5,576924.2621749191
1956,A,1,1,146817.88835196802
9352,E,1,5,933357.728690171
6699,E,3,5,462921.62742611737
7944,D,3,4,1211696.7090976357
5493,A,1,1,574602.4778460378
5911,A,3,1,482328.0770909296
4987,E,2,5,498312.31735969026
7015,A,1,1,452249.81925653474
2218,E,3,5,514108.4202895488
5496,E,2,5,542481.525267022
5735,C,1,3,759228.6663334278
5555,A,1,1,687320.5474190273
9050,B,3,2,892383.0717233666
4446,A,2,1,724073.5394593214
2045,A,1,1,282719.4247814561
7893,D,1,4,630352.7251826877
2693,B,5,2,179610.65609183424
4436,B,1,2,392933.857485143
9754,D,5,4,1190153.6221989796
6895,D,5,4,938738.1827804011
4354,A,2,1,724224.8127846371
1225,C,4,3,123344.31278165203
5893,D,5,4,841814.2883301213
8022,B,2,2,560048.3887083473
6600,B,3,2,1083595.5208771578
8996,A,5,1,1349875.0445603915
8683,C,4,3,684400.1192093081
5642,E,3,5,852643.950033772
8679,D,5,4,1461017.0874536708
