LotArea,Neighborhood,BedroomAbvGr,Neighborhood_encoded,SalePrice
5639,D,3,4,289560.0
4268,E,5,5,188040.0
4412,A,3,1,450900.0
5348,F,4,6,142960.0
14105,F,2,6,310100.0
7692,B,3,2,557520.0
4737,A,2,1,460275.0
11621,C,5,3,681050.0
1526,B,3,2,187560.0
9331,D,1,4,421240.0
9395,B,4,2,671700.0
9886,A,3,1,861450.0
8917,F,4,6,214340.0
11426,E,5,5,402780.0
12670,A,1,1,1040250.0
1189,D,4,4,119560.0
11698,F,4,6,269960.0
6058,C,6,3,412900.0
14995,D,5,4,679800.0
10243,A,5,1,918225.0
4071,C,2,3,273550.0
10990,F,3,6,251800.0
14665,D,5,4,666600.0
6439,A,6,1,647925.0
2496,E,5,5,134880.0
5617,B,6,2,469020.0
7927,D,2,4,373080.0
2254,E,1,5,103620.0
9066,A,6,1,844950.0
9408,D,1,4,424320.0
4402,F,1,6,112040.0
7995,E,5,5,299850.0
11857,C,6,3,702850.0
6427,C,2,3,391350.0
8028,A,4,1,737100.0
12329,B,5,2,859740.0
12779,A,1,1,1048425.0
14869,D,6,4,682760.0
4406,A,3,1,450450.0
3651,E,1,5,145530.0
10404,B,2,2,708240.0
10327,E,1,5,345810.0
12711,E,2,5,423330.0
13433,A,3,1,1127475.0
3998,A,2,1,404850.0
9735,A,3,1,850125.0
7081,B,4,2,532860.0
14804,A,5,1,1260300.0
14987,E,2,5,491610.0
5928,E,6,5,243840.0
11845,D,4,4,545800.0
7685,F,6,6,197700.0
10507,A,6,1,953025.0
5972,E,2,5,221160.0
4987,F,1,6,123740.0
1040,C,6,3,162000.0
11644,E,3,5,397320.0
7512,C,5,3,475600.0
4881,A,5,1,516075.0
13373,D,3,4,598920.0
8452,D,1,4,386080.0
3256,E,3,5,145680.0
11568,A,3,1,987600.0
7220,B,4,2,541200.0
10893,D,1,4,483720.0
4051,E,4,5,175530.0
14769,E,2,5,485070.0
12566,C,4,3,718300.0
3366,B,5,2,321960.0
11360,B,4,2,789600.0
7683,B,5,2,580980.0
12455,A,4,1,1069125.0
14436,A,3,1,1202700.0
7743,F,3,6,186860.0
9769,D,4,4,462760.0
3869,D,6,4,242760.0
10000,E,2,5,342000.0
3113,D,5,4,204520.0
1521,F,3,6,62420.0
4322,F,6,6,130440.0
7991,A,3,1,719325.0
10498,E,2,5,356940.0
7438,B,2,2,530280.0
2082,A,1,1,246150.0
8365,D,4,4,406600.0
3162,E,5,5,154860.0
9545,A,3,1,835875.0
1824,E,6,5,120720.0
11931,C,4,3,686550.0
9623,E,5,5,348690.0
11592,C,4,3,669600.0
3347,F,4,6,102940.0
13790,C,3,3,769500.0
1153,D,5,4,126120.0
2338,F,3,6,78760.0
12792,F,6,6,299840.0
7768,C,4,3,478400.0
7492,A,6,1,726900.0
3990,C,6,3,309500.0
11096,E,2,5,374880.0
1501,A,6,1,277575.0
9732,D,2,4,445280.0
10369,F,3,6,239380.0
8377,A,1,1,718275.0
4266,C,1,3,273300.0
3361,D,2,4,190440.0
10943,E,5,5,388290.0
14326,B,2,2,943560.0
8643,E,4,5,313290.0
8816,A,1,1,751200.0
8911,C,3,3,525550.0
9551,A,6,1,881325.0
3188,E,4,5,149640.0
6782,F,4,6,171640.0
10911,A,1,1,908325.0
1156,F,3,6,55120.0
9655,E,2,5,331650.0
8926,F,4,6,214520.0
2078,F,4,6,77560.0
12938,D,2,4,573520.0
11671,D,1,4,514840.0
689,F,6,6,57780.0
